rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,timestamp_year
1,No good,"These are not real German singers, they have accents. It is nothing what they advertised it. Music stinks.",[],B000F9SMUQ,B000F9SMUQ,AH3OG6QD6EDJGZRVCFKV4B66VWNQ,1405219741000,0,TRUE,2014
1,Don't mistake for the other mercy killers,"Wasn't any song info on this cd so I figured it was the same as the other & get a better deal but not. 5 songs on this, none from the other, not even sure it's the same band & nothing like the the other or to my liking.",[],B000LXEKIO,B000LXEKIO,AFMUIT2N2L4JX7DK3RJKEG6YWGMA,1378941077000,0,TRUE,2013
1,Should have just stuck with their later releases,"I picked this album up since I had two of L&J's later releases (Welcome to the Revolution and Soundtrack of a Soul) and I loved those two.  It was a cheap price used, but this album was pretty bad.  I don't know if there is a single song that I could even remotely like.  I couldn't believe the difference from this album to the others that I have.  After giving the whole album a chance, I was ready to pitch the CD out the car window.  I'm just glad I only spent a couple bucks on it.",[],B000X415X4,B000X415X4,AFJRIATLX72VV27RDYLM2EPFLHWQ,1362971006000,0,TRUE,2013
1,This is fraud,"If I had not had this CD before, I won't have understood what this is all about. I had this CD for threeyears before it disappeared after I got married. I Just wanted to replace it and was excited to see it in Amazon but the CD I got where just samples of the supposed music. Not even one song sang for a minute, it was just brief sample of all the songs. To think I imported this CD all the way from US to Africa, waited for it to come, Air freighted it to Nigeria to get this rubbish is appalling. This is a fraud. I don't understand what this seller intend to sell. What will it cost him to just record the whole song. I can never buy a pin from this seller again.",[],B001GX7MJW,B001GX7MJW,AE4HXIKWVZTAX53MFK77Z2TBZWVA,1361961924000,0,TRUE,2013
1,Disappointed!,"This CD set is terrible! The sound quality is bad, its like someone taped it from the t.v. or radio. Its very tinny sounding and sounds far away on some songs. I can honestly say that there are about 2 songs that sound normal! Also on one side of the CD jacket where it usually tells about the band members its not in english so I do not know what it says. When I received the package in the mail it was in a bubble envelope with no packing slip and it had a persons name and address on it that was not from the place advertised to come from. The package label was computer generated,cut out by hand and not cut straight and on the top right hand side it said stamps.com! The signs were there that this was not right but this CD was the only one left and I love this band, the the other choice for this CD would be coming from Russia!! I contacted Amazon to tell them about my disappointment and had to fill out out a comment box and Amazon was going to forward my questions to the place I bought the CD from (the CD came from a third party) The third party emailed me  and  said that the address that the CD was mailed from was where the mail had always been sent from (Brooklyn) and that they don't know where I got that it was coming from Ohio! (Ohio was where the store was that i was to get the CD from). I feel like I have been suckered into buying something that was misrepresented! They also said that the CD was an import but was sent out sealed and was regular factory pressed. Do they have different quality standards in other countries? Seriously?",[],B003XNLSHA,B003XNLSHA,AF6E3FIB7IPJGWUKVOTOEGJSUNPQ,1360510022000,4,TRUE,2013
1,vocal warm ups,"did not like, warms up all voices with each one coming in differently so you are waiting for your part, also to much talking by moderator",[],B0058V9ILI,B0058V9ILI,AFFRRF3X3XLHMWG5WNQGXO6BCBFA,1388342021000,1,TRUE,2013
1,For my brother,My brother really likes this album.  So it was a success.  I have never even heard of this person before.  I will listen some time.,[],B000091GYJ,B000091GYJ,AGWHFGDEKUZYVOYGDVMMDCNIRV7A,1361991728000,0,TRUE,2013
1,"Autumn In Nimes - Dire Straits, DVD.",Dire Straits DVD - Autumn In Nimes is big disappointment. I watched that concert years ago on Public Broadcast TV Station and always wanted to have it. This DVD I just purchased has exceptional audio but video reception is horrible. Don't buy it.,[],B0031SC3VC,B0031SC3VC,AGAUCUXIEUY3Z7I72XZFKEVDUR5Q,1383328035000,1,TRUE,2013
1,Is not the female orquestra Canela (great Colombian salsa) it is a Mexican music,"Do not buy this if you are looking for the Female Orquestra Canela, this cd is a Mexican music cd",[],B0017JA9YA,B0017JA9YA,AH4X6TXQN5D2YKZ73P6TJBVHOSQA,1385372893000,2,TRUE,2013
1,"I wanted the story, not just the music.","I love the story Distant Serenade told by Celeste Holmes.  I thought that was what I was getting.  The music without the story (like this CD) is disjointed and missing key elements...not to mention sounds terrible.  I got this for me and my daughter to enjoy the story and she can't stand it...to be honest, neither can I .  It's just not the same without the story.",[],B00022APCY,B00022APCY,AHERA36423GY2C3AQPJG4AHHWYOA,1360343512000,1,TRUE,2013
1,Never received my money back,"The quality of the Vinyl was unplayable. The seller seemed to be a reasonable guy offering to split the difference by partially refund money (due to the price of the record and the cost of shipping it back). Nice gesture, but I couldn't stand the fact of not being able to play the record at all. So I chose to take my loses and ship it back. That was last time I heard from the seller.",[],B004ER3IRM,B004ER3IRM,AFCFP6SIEANZBU3O33WJSH5ATWOQ,1363906640000,0,TRUE,2013
